"subject","trial","trait","observed_score","counterfactual_0","counterfactual_20","counterfactual_40","counterfactual_60","counterfactual_80","counterfactual_100","total_failed_attention_checks"
2,7,"neuroticism",80,2,6,16,54,NA,73,0
2,8,"neuroticism",60,6,17,53,NA,69,27,0
2,9,"openness",20,55,NA,60,30,11,3,0
2,10,"extraversion",20,55,NA,60,30,8,1,0
2,11,"neuroticism",40,11,54,NA,65,25,6,0
2,12,"agreeableness",60,6,15,54,NA,69,21,0
2,13,"extraversion",100,1,5,14,26,69,NA,0
2,14,"conscientiousness",80,3,6,20,63,NA,73,0
2,15,"extraversion",0,NA,70,20,7,2,0,0
2,16,"neuroticism",0,NA,63,25,9,3,1,0
2,17,"extraversion",60,6,20,59,NA,69,16,0
2,18,"conscientiousness",0,NA,59,30,10,5,0,0
2,19,"openness",60,5,20,49,NA,70,16,0
2,20,"agreeableness",100,0,5,10,31,69,NA,0
2,21,"extraversion",40,10,41,NA,59,21,6,0
2,22,"conscientiousness",20,31,NA,49,35,10,6,0
2,23,"agreeableness",0,NA,65,30,15,6,0,0
2,24,"openness",80,10,20,39,69,NA,88,0
2,25,"extraversion",80,11,21,40,70,NA,88,0
2,26,"conscientiousness",100,5,10,25,50,73,NA,0
2,27,"openness",100,6,11,21,45,69,NA,0
2,28,"agreeableness",20,50,NA,54,26,11,5,0
2,29,"agreeableness",40,10,40,NA,60,21,6,0
2,30,"agreeableness",80,5,17,30,60,NA,69,0
3,1,"agreeableness",0,NA,81,51,24,9,2,0
3,2,"extraversion",80,0,6,31,81,NA,84,0
3,3,"neuroticism",40,2,47,NA,77,55,40,0
3,4,"conscientiousness",80,1,9,51,76,NA,77,0
3,5,"conscientiousness",20,1,NA,83,69,21,6,0
3,6,"extraversion",0,NA,5,5,5,3,3,0
3,7,"conscientiousness",0,NA,5,5,7,3,2,0
3,8,"openness",80,1,17,46,83,NA,81,0
3,9,"neuroticism",80,1,8,46,86,NA,85,0
3,10,"openness",60,1,25,88,NA,90,88,0
3,11,"agreeableness",40,0,80,NA,81,63,52,0
3,12,"extraversion",40,0,73,NA,78,59,27,0
3,13,"conscientiousness",60,1,32,79,NA,80,54,0
3,14,"neuroticism",20,6,NA,55,25,7,3,0
3,15,"neuroticism",60,0,24,69,NA,75,35,0
3,16,"openness",100,0,9,31,68,91,NA,0
3,17,"agreeableness",100,0,11,33,59,91,NA,0
3,18,"neuroticism",0,NA,11,6,5,5,4,0
3,19,"conscientiousness",40,2,66,NA,69,43,33,0
3,20,"conscientiousness",100,0,56,41,16,8,NA,0
3,21,"openness",0,NA,48,29,14,11,0,0
3,22,"openness",20,68,NA,63,50,35,7,0
3,23,"neuroticism",100,0,13,44,67,84,NA,0
3,24,"agreeableness",60,1,31,57,NA,72,63,0
3,25,"extraversion",100,0,22,42,65,85,NA,0
3,26,"agreeableness",80,1,17,42,76,NA,75,0
3,27,"agreeableness",20,57,NA,46,33,23,14,0
3,28,"extraversion",60,2,22,54,NA,74,66,0
3,29,"openness",40,2,71,NA,66,58,51,0
3,30,"extraversion",20,78,NA,71,51,23,3,0
4,1,"extraversion",0,NA,89,39,23,15,0,0
4,2,"conscientiousness",100,0,10,20,63,81,NA,0
4,3,"neuroticism",60,12,21,39,NA,69,87,0
4,4,"conscientiousness",60,11,21,39,NA,71,75,0
4,5,"conscientiousness",80,2,7,36,72,NA,86,0
4,6,"extraversion",20,89,NA,50,24,12,3,0
4,7,"neuroticism",40,53,65,NA,59,48,20,0
4,8,"openness",60,10,19,29,NA,77,86,0
4,9,"conscientiousness",20,71,NA,50,38,24,11,0
4,10,"neuroticism",0,NA,39,36,30,19,0,0
4,11,"extraversion",40,61,55,NA,46,31,17,0
4,12,"extraversion",100,0,21,39,59,80,NA,0
4,13,"agreeableness",100,0,19,39,59,89,NA,0
4,14,"extraversion",80,3,18,30,60,NA,85,0
4,15,"neuroticism",20,82,NA,70,42,24,0,0
4,16,"extraversion",60,12,20,39,NA,66,76,0
4,17,"openness",0,NA,79,59,30,22,0,0
4,18,"openness",100,0,19,40,59,83,NA,0
4,19,"neuroticism",80,13,20,39,72,NA,85,0
4,20,"openness",20,79,NA,71,48,27,2,0
4,21,"agreeableness",80,6,19,38,65,NA,80,0
4,22,"conscientiousness",0,NA,79,60,39,23,0,0
4,23,"agreeableness",20,82,NA,70,47,29,3,0
4,24,"conscientiousness",40,78,71,NA,63,41,11,0
4,25,"agreeableness",0,NA,78,59,38,21,0,0
4,26,"openness",80,10,23,40,61,NA,81,0
4,27,"neuroticism",100,0,20,37,66,81,NA,0
4,28,"agreeableness",40,78,70,NA,69,37,14,0
4,29,"agreeableness",60,13,21,57,NA,59,45,0
4,30,"openness",40,10,48,NA,58,56,30,0
5,1,"agreeableness",20,0,NA,16,2,0,0,0
5,2,"agreeableness",100,0,0,0,0,20,NA,0
5,3,"extraversion",0,NA,50,2,0,0,0,0
5,4,"neuroticism",60,0,11,50,NA,50,3,0
5,5,"openness",0,NA,60,6,0,0,0,0
5,6,"openness",20,2,NA,50,5,0,0,0
5,7,"agreeableness",0,NA,75,15,5,0,0,0
5,8,"extraversion",40,0,16,NA,35,2,0,0
5,9,"conscientiousness",40,0,8,NA,25,6,0,0
5,10,"conscientiousness",100,0,0,0,3,13,NA,0
5,11,"neuroticism",20,33,NA,49,17,5,0,0
5,12,"neuroticism",80,0,0,6,50,NA,13,0
5,13,"agreeableness",40,0,50,NA,50,15,0,0
5,14,"conscientiousness",80,0,0,5,50,NA,16,0
5,15,"agreeableness",80,0,0,0,45,NA,7,0
5,16,"extraversion",20,11,NA,50,5,0,0,0
5,17,"openness",40,0,50,NA,40,0,0,0
5,18,"neuroticism",40,6,49,NA,50,26,6,0
5,19,"openness",60,0,7,50,NA,49,2,0
5,20,"neuroticism",0,NA,79,50,34,17,0,0
5,21,"conscientiousness",20,50,NA,49,15,0,0,0
5,22,"conscientiousness",0,NA,65,25,3,0,0,0
5,23,"extraversion",80,0,0,6,49,NA,35,0
5,24,"extraversion",60,0,4,50,NA,50,2,0
5,25,"conscientiousness",60,0,7,45,NA,45,5,0
5,26,"openness",80,0,0,3,49,NA,16,0
5,27,"agreeableness",60,0,6,49,NA,50,11,0
5,28,"openness",100,0,0,0,5,50,NA,0
5,29,"extraversion",100,0,0,0,16,50,NA,0
5,30,"neuroticism",100,0,2,17,27,50,NA,0
6,1,"agreeableness",40,55,70,NA,54,35,53,1
6,2,"extraversion",40,33,51,NA,72,40,62,1
6,3,"agreeableness",60,82,66,80,NA,77,54,1
6,4,"conscientiousness",100,50,77,92,63,68,NA,1
6,5,"openness",80,51,88,100,83,NA,75,1
6,6,"agreeableness",80,52,85,91,67,NA,66,1
6,7,"neuroticism",40,63,91,NA,73,72,90,1
6,8,"openness",20,63,NA,49,82,83,44,1
6,9,"agreeableness",100,54,79,54,45,61,NA,1
6,10,"neuroticism",20,49,NA,82,58,78,66,1
6,11,"conscientiousness",80,45,65,45,63,NA,45,1
6,12,"openness",60,35,72,48,NA,52,76,1
6,13,"conscientiousness",60,43,72,41,NA,59,56,1
6,14,"openness",100,53,75,55,43,67,NA,1
6,15,"openness",40,94,61,NA,98,96,82,1
6,16,"conscientiousness",20,38,NA,68,63,36,66,1
6,17,"extraversion",100,90,60,81,78,55,NA,1
6,18,"conscientiousness",0,NA,59,79,79,44,63,1
6,19,"extraversion",80,48,69,69,50,NA,66,1
6,20,"extraversion",20,89,NA,68,73,56,80,1
6,21,"neuroticism",60,42,81,63,NA,63,44,1
6,22,"extraversion",0,NA,20,1,17,21,17,1
6,23,"agreeableness",0,NA,59,50,31,51,63,1
6,24,"openness",0,NA,27,48,34,33,58,1
6,25,"neuroticism",0,NA,33,61,40,50,53,1
6,26,"extraversion",60,65,25,46,NA,61,46,1
6,27,"conscientiousness",40,57,80,NA,43,58,46,1
6,28,"neuroticism",80,63,33,63,43,NA,61,1
6,29,"neuroticism",100,44,69,44,41,52,NA,1
6,30,"agreeableness",20,63,NA,40,57,69,46,1
7,1,"extraversion",80,0,0,0,59,NA,59,0
7,2,"agreeableness",20,21,NA,20,11,0,0,0
7,3,"openness",0,NA,10,10,0,0,0,0
7,4,"extraversion",20,11,NA,11,0,0,0,0
7,5,"agreeableness",40,10,11,NA,40,0,0,0
7,6,"agreeableness",0,NA,11,4,0,0,0,0
7,7,"agreeableness",80,0,0,10,50,NA,50,0
7,8,"openness",20,11,NA,11,5,0,0,0
7,9,"extraversion",40,11,20,NA,50,11,0,0
7,10,"neuroticism",80,0,0,0,69,NA,88,0
7,11,"openness",80,0,0,0,59,NA,59,0
7,12,"extraversion",0,NA,5,2,0,0,0,0
7,13,"conscientiousness",20,5,NA,5,1,0,0,0
7,14,"conscientiousness",40,0,11,NA,20,0,0,0
7,15,"openness",60,0,0,30,NA,50,29,0
7,16,"openness",40,0,11,NA,50,10,0,0
7,17,"agreeableness",60,0,0,11,NA,59,10,0
7,18,"openness",100,0,0,0,50,79,NA,0
7,19,"conscientiousness",80,0,0,0,59,NA,60,0
7,20,"extraversion",60,0,0,0,NA,50,30,0
7,21,"neuroticism",20,4,NA,5,0,0,0,0
7,22,"extraversion",100,0,0,0,11,89,NA,0
7,23,"neuroticism",0,NA,5,2,0,0,0,0
7,24,"neuroticism",40,0,11,NA,6,0,0,0
7,25,"conscientiousness",60,0,0,11,NA,40,11,0
7,26,"agreeableness",100,0,0,0,30,88,NA,0
7,27,"neuroticism",60,0,0,11,NA,40,9,0
7,28,"neuroticism",100,0,0,0,0,98,NA,0
7,29,"conscientiousness",0,NA,2,0,0,0,0,0
7,30,"conscientiousness",100,0,0,0,5,88,NA,0
8,1,"neuroticism",100,0,4,8,37,83,NA,0
8,2,"agreeableness",20,72,NA,28,7,4,0,0
8,3,"extraversion",60,4,13,62,NA,31,24,0
8,4,"openness",20,8,NA,24,2,0,0,0
8,5,"conscientiousness",0,NA,9,3,0,0,0,0
8,6,"agreeableness",40,12,20,NA,55,36,14,0
8,7,"neuroticism",20,72,NA,57,14,5,0,0
8,8,"openness",60,1,19,57,NA,48,18,0
8,9,"neuroticism",80,9,16,23,36,NA,56,0
8,10,"agreeableness",100,0,4,10,53,92,NA,0
8,11,"extraversion",80,1,6,19,62,NA,73,0
8,12,"neuroticism",60,7,21,57,NA,55,44,0
8,13,"openness",0,NA,21,10,5,3,0,0
8,14,"conscientiousness",100,0,10,21,34,84,NA,0
8,15,"openness",40,13,26,NA,53,37,10,0
8,16,"conscientiousness",20,66,NA,54,29,0,0,0
8,17,"neuroticism",0,NA,11,5,0,0,0,0
8,18,"openness",100,0,4,10,27,89,NA,0
8,19,"neuroticism",40,16,44,NA,30,5,0,0
8,20,"agreeableness",60,9,17,64,NA,55,27,0
8,21,"conscientiousness",40,8,23,NA,25,16,7,0
8,22,"conscientiousness",60,6,13,33,NA,37,24,0
8,23,"agreeableness",0,NA,22,6,3,0,0,0
8,24,"extraversion",0,NA,14,7,4,0,0,0
8,25,"conscientiousness",80,0,8,19,44,NA,76,0
8,26,"extraversion",20,35,NA,26,15,2,0,0
8,27,"extraversion",40,20,36,NA,34,17,7,0
8,28,"extraversion",100,0,4,16,23,54,NA,0
8,29,"openness",80,0,4,15,34,NA,62,0
8,30,"agreeableness",80,1,9,15,42,NA,63,0
9,1,"neuroticism",100,100,88,60,39,19,NA,0
9,2,"conscientiousness",80,90,70,50,20,NA,4,0
9,3,"extraversion",100,100,89,59,30,11,NA,0
9,4,"agreeableness",20,11,NA,25,40,50,59,0
9,5,"agreeableness",40,30,41,NA,51,31,11,0
9,6,"extraversion",60,69,79,89,NA,79,69,0
9,7,"conscientiousness",0,NA,20,12,0,0,0,0
9,8,"openness",20,50,NA,21,0,0,0,0
9,9,"agreeableness",60,49,60,70,NA,30,0,0
9,10,"agreeableness",100,100,100,50,30,0,NA,0
9,11,"conscientiousness",100,100,100,49,30,11,NA,0
9,12,"neuroticism",80,88,69,49,30,NA,8,0
9,13,"neuroticism",20,100,NA,49,29,10,0,0
9,14,"neuroticism",0,NA,78,59,39,20,0,0
9,15,"openness",80,100,90,60,39,NA,22,0
9,16,"conscientiousness",40,100,80,NA,59,40,20,0
9,17,"openness",60,89,73,50,NA,26,5,0
9,18,"extraversion",0,NA,88,30,20,12,0,0
9,19,"extraversion",80,100,88,50,20,NA,0,0
9,20,"openness",40,100,74,NA,39,28,5,0
9,21,"openness",100,100,89,31,19,10,NA,0
9,22,"agreeableness",0,NA,69,30,20,10,0,0
9,23,"extraversion",20,90,NA,50,30,15,0,0
9,24,"neuroticism",60,89,79,31,NA,19,5,0
9,25,"conscientiousness",20,100,NA,30,20,11,0,0
9,26,"neuroticism",40,88,69,NA,41,21,0,0
9,27,"conscientiousness",60,90,69,30,NA,20,3,0
9,28,"openness",0,NA,100,20,10,4,0,0
9,29,"agreeableness",80,100,84,49,30,NA,10,0
9,30,"extraversion",40,89,79,NA,49,30,10,0
10,1,"neuroticism",60,0,0,40,NA,53,31,0
10,2,"openness",0,NA,69,29,3,0,0,0
10,3,"agreeableness",0,NA,17,9,0,0,0,0
10,4,"agreeableness",40,2,21,NA,61,37,15,0
10,5,"extraversion",80,0,0,16,74,NA,60,0
10,6,"agreeableness",20,43,NA,44,21,9,0,0
10,7,"extraversion",60,0,6,51,NA,61,32,0
10,8,"extraversion",20,37,NA,61,32,13,5,0
10,9,"conscientiousness",40,6,35,NA,59,24,9,0
10,10,"openness",40,0,9,NA,38,16,4,0
10,11,"extraversion",40,9,51,NA,62,28,6,0
10,12,"openness",80,0,5,34,70,NA,61,0
10,13,"conscientiousness",100,0,0,0,10,80,NA,0
10,14,"neuroticism",20,20,NA,47,12,5,0,0
10,15,"neuroticism",80,0,0,4,71,NA,63,0
10,16,"conscientiousness",80,0,0,9,70,NA,70,0
10,17,"conscientiousness",20,19,NA,50,28,12,4,0
10,18,"neuroticism",40,11,54,NA,61,38,5,0
10,19,"conscientiousness",0,NA,49,37,23,0,0,0
10,20,"conscientiousness",60,0,7,69,NA,70,40,0
10,21,"agreeableness",100,0,0,16,35,74,NA,0
10,22,"extraversion",100,0,0,0,36,80,NA,0
10,23,"agreeableness",60,0,9,79,NA,76,41,0
10,24,"openness",100,0,0,8,29,87,NA,0
10,25,"agreeableness",80,0,0,33,77,NA,65,0
10,26,"neuroticism",0,NA,61,37,12,7,0,0
10,27,"neuroticism",100,0,0,0,33,87,NA,0
10,28,"openness",20,49,NA,73,18,6,0,0
10,29,"openness",60,0,7,65,NA,65,40,0
10,30,"extraversion",0,NA,70,37,12,0,0,0
11,1,"conscientiousness",60,0,5,41,NA,55,4,0
11,2,"conscientiousness",0,NA,87,14,0,0,1,0
11,3,"openness",0,NA,90,10,0,0,0,0
11,4,"openness",80,3,3,1,51,NA,79,0
11,5,"conscientiousness",80,2,1,26,60,NA,82,0
11,6,"extraversion",100,0,0,0,71,88,NA,0
11,7,"agreeableness",80,0,0,0,52,NA,90,0
11,8,"neuroticism",40,6,16,NA,44,33,1,0
11,9,"neuroticism",0,NA,91,21,0,0,1,0
11,10,"agreeableness",0,NA,87,84,0,0,0,0
11,11,"openness",60,0,2,31,NA,49,1,0
11,12,"openness",40,0,13,NA,43,20,0,0
11,13,"extraversion",80,0,2,7,51,NA,38,0
11,14,"conscientiousness",100,0,0,6,23,86,NA,0
11,15,"agreeableness",100,0,0,2,36,87,NA,0
11,16,"agreeableness",20,20,NA,35,6,1,0,0
11,17,"openness",100,0,0,13,48,86,NA,0
11,18,"openness",20,13,NA,33,5,0,0,0
11,19,"extraversion",40,0,23,NA,46,17,2,0
11,20,"neuroticism",20,9,NA,33,5,0,0,0
11,21,"agreeableness",60,1,18,54,NA,40,5,0
11,22,"neuroticism",100,0,0,12,33,84,NA,0
11,23,"conscientiousness",40,1,22,NA,53,11,0,0
11,24,"neuroticism",60,0,16,56,NA,42,0,0
11,25,"extraversion",20,5,NA,37,16,0,0,0
11,26,"conscientiousness",20,4,NA,47,13,0,0,0
11,27,"extraversion",60,0,3,40,NA,57,3,0
11,28,"extraversion",0,NA,86,22,2,0,0,0
11,29,"neuroticism",80,0,2,5,67,NA,75,0
11,30,"agreeableness",40,2,31,NA,58,14,6,0
12,1,"agreeableness",20,1,NA,68,22,4,0,0
12,2,"extraversion",80,0,2,2,60,NA,70,0
12,3,"neuroticism",60,1,2,61,NA,70,1,0
12,4,"agreeableness",80,0,2,1,75,NA,39,0
12,5,"agreeableness",100,0,1,2,39,69,NA,0
12,6,"openness",20,21,NA,48,0,0,0,0
12,7,"openness",0,NA,66,39,12,0,1,0
12,8,"conscientiousness",60,2,1,33,NA,60,1,0
12,9,"conscientiousness",40,1,2,NA,68,21,1,0
12,10,"openness",80,1,2,2,51,NA,50,0
12,11,"openness",100,0,0,0,19,69,NA,0
12,12,"conscientiousness",100,0,1,1,29,69,NA,0
12,13,"neuroticism",80,0,0,2,48,NA,60,0
12,14,"neuroticism",100,0,1,2,30,74,NA,0
12,15,"conscientiousness",20,1,NA,74,38,1,0,0
12,16,"conscientiousness",0,NA,63,22,1,0,0,0
12,17,"neuroticism",20,29,NA,12,1,0,0,0
12,18,"agreeableness",60,0,0,30,NA,49,0,0
12,19,"agreeableness",40,0,12,NA,51,0,0,0
12,20,"extraversion",40,0,22,NA,49,0,0,0
12,21,"neuroticism",40,0,33,NA,49,0,0,0
12,22,"conscientiousness",80,0,0,1,15,NA,65,0
12,23,"agreeableness",0,NA,63,50,1,0,0,0
12,24,"openness",60,0,0,30,NA,48,0,0
12,25,"extraversion",20,29,NA,39,0,0,0,0
12,26,"extraversion",0,NA,60,17,0,0,0,0
12,27,"openness",40,0,19,NA,70,9,0,0
12,28,"neuroticism",0,NA,21,0,0,0,0,0
12,29,"extraversion",60,0,0,30,NA,41,1,0
12,30,"extraversion",100,0,0,0,0,50,NA,0
13,1,"conscientiousness",40,79,20,NA,59,79,87,0
13,2,"agreeableness",40,81,85,NA,88,91,85,0
13,3,"extraversion",40,92,84,NA,80,89,91,0
13,4,"agreeableness",0,NA,81,85,85,90,91,0
13,5,"openness",0,NA,86,91,89,94,93,0
13,6,"conscientiousness",60,89,93,91,NA,88,89,0
13,7,"agreeableness",100,84,92,89,91,95,NA,0
13,8,"neuroticism",40,85,88,NA,90,92,89,0
13,9,"neuroticism",80,84,84,84,95,NA,94,0
13,10,"conscientiousness",0,NA,82,76,83,72,82,0
13,11,"openness",60,83,70,81,NA,84,80,0
13,12,"conscientiousness",80,84,82,80,78,NA,84,0
13,13,"openness",40,87,92,NA,85,85,89,0
13,14,"extraversion",80,84,89,88,87,NA,81,0
13,15,"openness",80,84,76,84,81,NA,87,0
13,16,"agreeableness",80,85,87,86,79,NA,87,0
13,17,"neuroticism",100,88,79,87,82,83,NA,0
13,18,"extraversion",100,82,78,88,84,82,NA,0
13,19,"agreeableness",60,84,86,87,NA,86,82,0
13,20,"extraversion",0,NA,85,89,81,83,80,0
13,21,"extraversion",60,83,80,79,NA,88,83,0
13,22,"conscientiousness",100,86,72,88,87,85,NA,0
13,23,"openness",100,86,81,88,82,86,NA,0
13,24,"agreeableness",20,85,NA,92,81,86,83,0
13,25,"extraversion",20,75,NA,85,83,86,76,0
13,26,"neuroticism",0,NA,85,76,86,81,79,0
13,27,"neuroticism",20,81,NA,82,86,75,89,0
13,28,"conscientiousness",20,84,NA,88,76,83,75,0
13,29,"openness",20,80,NA,86,72,86,75,0
13,30,"neuroticism",60,82,85,75,NA,87,81,0
14,1,"agreeableness",100,5,29,59,70,100,NA,0
14,2,"conscientiousness",20,11,NA,26,21,11,20,0
14,3,"agreeableness",60,11,9,50,NA,79,49,0
14,4,"conscientiousness",0,NA,50,10,20,31,10,0
14,5,"neuroticism",100,10,30,60,79,100,NA,0
14,6,"neuroticism",20,69,NA,50,30,10,5,0
14,7,"conscientiousness",60,20,11,30,NA,60,50,0
14,8,"openness",40,40,50,NA,50,40,10,0
14,9,"neuroticism",0,NA,59,49,11,4,0,0
14,10,"openness",60,4,11,50,NA,70,88,0
14,11,"extraversion",100,2,4,30,50,100,NA,0
14,12,"extraversion",0,NA,59,50,20,11,3,0
14,13,"agreeableness",40,4,50,NA,49,30,21,0
14,14,"conscientiousness",40,10,50,NA,56,69,50,0
14,15,"neuroticism",60,5,30,50,NA,55,40,0
14,16,"neuroticism",40,20,50,NA,29,20,10,0
14,17,"conscientiousness",100,6,11,30,70,89,NA,0
14,18,"conscientiousness",80,19,30,59,80,NA,50,0
14,19,"openness",0,NA,49,29,21,12,2,0
14,20,"openness",20,50,NA,60,49,21,9,0
14,21,"extraversion",60,6,5,50,NA,70,50,0
14,22,"agreeableness",20,40,NA,61,50,29,10,0
14,23,"extraversion",40,11,29,NA,49,59,40,0
14,24,"agreeableness",0,NA,49,30,12,21,0,0
14,25,"neuroticism",80,8,31,58,69,NA,79,0
14,26,"agreeableness",80,4,20,50,79,NA,100,0
14,27,"extraversion",20,19,NA,59,69,50,31,0
14,28,"openness",80,3,30,51,79,NA,100,0
14,29,"extraversion",80,0,11,50,78,NA,100,0
14,30,"openness",100,0,10,50,78,100,NA,0
15,1,"neuroticism",60,0,20,40,NA,39,0,0
15,2,"openness",100,0,1,4,6,69,NA,0
15,3,"conscientiousness",60,0,6,37,NA,59,0,0
15,4,"neuroticism",40,0,25,NA,24,5,0,0
15,5,"openness",80,0,4,10,20,NA,35,0
15,6,"conscientiousness",40,0,11,NA,35,11,0,0
15,7,"agreeableness",60,0,2,11,NA,25,11,0
15,8,"openness",40,0,11,NA,26,11,0,0
15,9,"openness",0,NA,15,3,2,1,0,0
15,10,"extraversion",0,NA,10,0,0,0,0,0
15,11,"agreeableness",40,0,11,NA,35,17,0,0
15,12,"agreeableness",80,0,5,11,25,NA,25,0
15,13,"neuroticism",0,NA,16,0,0,0,0,0
15,14,"agreeableness",100,0,3,5,14,30,NA,0
15,15,"conscientiousness",0,NA,14,1,0,0,0,0
15,16,"neuroticism",20,4,NA,20,4,0,0,0
15,17,"openness",60,0,4,23,NA,11,0,0
15,18,"extraversion",100,0,1,1,8,11,NA,0
15,19,"extraversion",80,0,3,5,16,NA,16,0
15,20,"extraversion",40,0,15,NA,25,25,14,0
15,21,"extraversion",20,5,NA,20,16,3,0,0
15,22,"conscientiousness",80,0,2,15,26,NA,26,0
15,23,"conscientiousness",100,0,0,3,9,21,NA,0
15,24,"agreeableness",20,11,NA,20,1,1,0,0
15,25,"extraversion",60,0,3,19,NA,24,17,0
15,26,"neuroticism",100,0,0,2,11,30,NA,0
15,27,"conscientiousness",20,30,NA,30,5,1,0,0
15,28,"openness",20,25,NA,11,4,0,0,0
15,29,"agreeableness",0,NA,10,3,0,0,0,0
15,30,"neuroticism",80,0,2,11,30,NA,30,0
16,1,"neuroticism",80,0,5,11,30,NA,54,0
16,2,"neuroticism",20,45,NA,50,26,11,0,0
16,3,"agreeableness",0,NA,54,35,15,5,0,0
16,4,"neuroticism",40,11,26,NA,21,5,0,0
16,5,"agreeableness",40,6,16,NA,34,25,11,0
16,6,"openness",100,0,0,5,11,35,NA,0
16,7,"openness",60,0,5,15,NA,34,20,0
16,8,"extraversion",20,30,NA,25,19,9,0,0
16,9,"extraversion",80,3,7,43,75,NA,63,0
16,10,"extraversion",60,5,19,67,NA,61,51,0
16,11,"conscientiousness",100,0,0,15,63,74,NA,0
16,12,"conscientiousness",40,11,27,NA,22,12,0,0
16,13,"agreeableness",20,27,NA,13,1,0,0,0
16,14,"conscientiousness",20,38,NA,25,15,3,0,0
16,15,"agreeableness",80,2,7,38,74,NA,55,0
16,16,"neuroticism",60,2,5,44,NA,41,32,0
16,17,"conscientiousness",60,3,17,47,NA,36,23,0
16,18,"conscientiousness",80,2,6,27,54,NA,48,0
16,19,"openness",20,23,NA,19,8,2,0,0
16,20,"neuroticism",100,1,5,17,48,83,NA,0
16,21,"agreeableness",100,5,8,24,34,63,NA,0
16,22,"conscientiousness",0,NA,63,34,9,1,0,0
16,23,"openness",0,NA,37,32,14,6,0,0
16,24,"extraversion",100,1,3,18,46,77,NA,0
16,25,"extraversion",0,NA,52,26,12,2,0,0
16,26,"openness",80,0,5,34,63,NA,57,0
16,27,"extraversion",40,17,31,NA,25,10,1,0
16,28,"neuroticism",0,NA,52,32,17,7,1,0
16,29,"openness",40,10,38,NA,29,13,0,0
16,30,"agreeableness",60,2,21,47,NA,32,24,0
17,1,"extraversion",80,55,67,77,88,NA,100,0
17,2,"conscientiousness",80,60,71,79,93,NA,100,0
17,3,"conscientiousness",40,20,30,NA,40,59,100,0
17,4,"agreeableness",20,73,NA,69,53,32,90,0
17,5,"openness",0,NA,50,24,20,8,0,0
17,6,"openness",60,0,9,20,NA,86,52,0
17,7,"neuroticism",100,0,19,40,74,89,NA,0
17,8,"agreeableness",0,NA,77,68,59,79,0,0
17,9,"conscientiousness",20,83,NA,71,40,20,9,0
17,10,"neuroticism",80,1,13,30,94,NA,87,0
17,11,"neuroticism",20,58,NA,60,20,16,3,0
17,12,"extraversion",60,9,21,40,NA,81,61,0
17,13,"extraversion",40,21,60,NA,49,19,9,0
17,14,"agreeableness",40,10,46,NA,38,58,29,0
17,15,"openness",100,0,20,29,78,96,NA,0
17,16,"agreeableness",100,0,12,33,66,99,NA,0
17,17,"extraversion",100,0,14,41,65,100,NA,0
17,18,"conscientiousness",100,3,19,36,69,90,NA,0
17,19,"agreeableness",80,20,29,43,78,NA,54,0
17,20,"neuroticism",60,10,17,52,NA,65,23,0
17,21,"conscientiousness",60,9,29,50,NA,81,69,0
17,22,"extraversion",0,NA,60,25,11,5,0,0
17,23,"neuroticism",40,14,44,NA,38,39,21,0
17,24,"neuroticism",0,NA,42,31,15,9,0,0
17,25,"conscientiousness",0,NA,45,19,15,7,0,0
